total_games_played,cumulative_points
1531,13832.599423196258
1532,13841.717731147432
1533,13850.836039098605
1534,13859.95434704978
1535,13869.072655000953
1536,13878.190962952127
1537,13887.3092709033
1538,13896.427578854475
1539,13905.545886805648
1540,13914.664194756822
1541,13923.782502707996
1542,13932.90081065917
1543,13942.019118610344
1544,13951.137426561516
1545,13960.25573451269
1546,13969.374042463864
1547,13978.492350415037
1548,13987.610658366211
1549,13996.728966317385
1550,14005.847274268559
1551,14014.965582219733
1552,14024.083890170907
1553,14033.20219812208
1554,14042.320506073254
1555,14051.438814024428
1556,14060.557121975602
1557,14069.675429926776
1558,14078.793737877948
1559,14087.912045829122
1560,14097.030353780296
1561,14106.14866173147
1562,14115.266969682643
1563,14124.385277633817
1564,14133.503585584991
1565,14142.621893536165
1566,14151.740201487339
1567,14160.858509438513
1568,14169.976817389686
1569,14179.09512534086
1570,14188.213433292034
1571,14197.331741243208
1572,14206.450049194382
1573,14215.568357145554
1574,14224.686665096728
1575,14233.804973047902
1576,14242.923280999075
1577,14252.04158895025
1578,14261.159896901423
1579,14270.278204852597
1580,14279.39651280377
1581,14288.514820754945
1582,14297.633128706118
1583,14306.751436657292
1584,14315.869744608466
1585,14324.98805255964
1586,14334.106360510814
1587,14343.224668461988
1588,14352.34297641316
1589,14361.461284364334
1590,14370.579592315507
1591,14379.697900266681
1592,14388.816208217855
1593,14397.934516169029
1594,14407.052824120203
1595,14416.171132071377
1596,14425.28944002255
1597,14434.407747973724
1598,14443.526055924898
1599,14452.644363876072
1600,14461.762671827246
1601,14470.88097977842
1602,14479.999287729592
1603,14489.117595680766
1604,14498.23590363194
1605,14507.354211583113
1606,14516.472519534287
1607,14525.590827485461
1608,14534.709135436635
1609,14543.827443387809
1610,14552.945751338983
1611,14562.064059290156
1612,14571.18236724133
1613,14580.300675192504
1614,14589.418983143678
1615,14598.537291094852
1616,14607.655599046026
1617,14616.773906997198
1618,14625.892214948371
1619,14635.010522899545
1620,14644.12883085072
1621,14653.247138801893
1622,14662.365446753067
1623,14671.48375470424
1624,14680.602062655415
1625,14689.720370606588
1626,14698.838678557762
1627,14707.956986508936
1628,14717.07529446011
1629,14726.193602411284
1630,14735.311910362458
1631,14744.430218313631
1632,14753.548526264804
1633,14762.666834215977
1634,14771.785142167151
1635,14780.903450118325
1636,14790.021758069499
1637,14799.140066020673
1638,14808.258373971847
1639,14817.37668192302
1640,14826.494989874194
1641,14835.613297825368
1642,14844.731605776542
1643,14853.849913727716
1644,14862.96822167889
1645,14872.086529630064
1646,14881.204837581236
1647,14890.32314553241
1648,14899.441453483583
1649,14908.559761434757
1650,14917.678069385931
1651,14926.796377337105
1652,14935.914685288279
1653,14945.032993239452
1654,14954.151301190626
1655,14963.2696091418
1656,14972.387917092974
1657,14981.506225044148
1658,14990.624532995322
1659,14999.742840946496
1660,15008.86114889767
1661,15017.979456848841
1662,15027.097764800015
1663,15036.21607275119
1664,15045.334380702363
1665,15054.452688653537
1666,15063.57099660471
1667,15072.689304555885
1668,15081.807612507058
1669,15090.925920458232
1670,15100.044228409406
1671,15109.16253636058
1672,15118.280844311754
1673,15127.399152262928
1674,15136.517460214101
1675,15145.635768165273
1676,15154.754076116447
1677,15163.872384067621
1678,15172.990692018795
1679,15182.108999969969
1680,15191.227307921143
1681,15200.345615872317
1682,15209.46392382349
1683,15218.582231774664
1684,15227.700539725838
1685,15236.818847677012
1686,15245.937155628186
1687,15255.05546357936
1688,15264.173771530533
1689,15273.292079481707
1690,15282.41038743288
1691,15291.528695384053
1692,15300.647003335227
1693,15309.7653112864
1694,15318.883619237575
