year,game_number,date,points
2020,9,2019-11-07,2
2020,10,2019-11-11,6
2020,11,2019-11-13,6
2020,12,2019-11-18,9
2020,13,2019-11-20,14
2020,14,2019-11-22,6
2020,15,2019-11-24,10
2020,16,2019-11-26,3
2020,17,2019-11-27,6
2020,18,2019-11-29,10
2020,19,2019-12-01,3
2020,20,2019-12-03,11
2020,21,2019-12-06,6
2020,22,2019-12-08,9
2020,23,2019-12-09,11
2020,24,2019-12-11,11
2020,25,2019-12-17,9
2020,26,2019-12-19,10
2020,27,2019-12-21,8
2020,28,2019-12-25,8
2020,29,2019-12-28,12
2020,30,2020-01-05,6
2020,31,2020-01-10,12
2020,32,2020-01-12,9
2020,33,2020-01-14,10
2020,34,2020-01-16,10
2020,35,2020-01-18,9
2020,36,2020-01-21,9
2020,37,2020-01-30,11
2020,38,2020-02-01,12
2020,39,2020-02-03,12
2020,40,2020-02-05,5
2020,41,2020-02-24,6
2020,42,2020-02-26,11
2020,43,2020-02-28,0
2020,44,2020-03-01,0
2020,45,2020-03-03,3
2020,46,2020-03-05,5
2020,47,2020-03-08,2
2020,48,2020-03-10,15
2020,49,2020-07-30,12
2020,50,2020-08-01,9
2020,51,2020-08-04,4
2021,1,2020-12-22,10
2021,2,2020-12-25,9
2021,3,2020-12-27,2
2021,4,2020-12-29,12
2021,5,2020-12-30,7
2021,6,2021-01-01,6
2021,7,2021-01-03,7
2021,8,2021-01-05,20
2021,9,2021-01-06,7
2021,10,2021-01-08,7
2021,11,2021-01-10,7
2021,12,2021-01-13,10
2021,13,2021-01-17,11
2021,14,2021-01-20,6
2021,15,2021-01-22,1
2021,16,2021-01-24,7
2021,17,2021-02-10,6
2021,18,2021-02-12,6
2021,19,2021-02-14,16
2021,20,2021-02-17,8
2021,21,2021-02-19,17
2021,22,2021-02-21,5
2021,23,2021-02-23,5
2021,24,2021-02-25,5
2021,25,2021-02-26,11
2021,26,2021-02-28,5
2021,27,2021-03-02,8
2021,28,2021-03-04,17
2021,29,2021-03-11,3
2021,30,2021-04-06,8
2021,31,2021-04-08,0
2021,32,2021-05-04,8
2021,33,2021-05-06,5
2021,34,2021-05-09,3
2021,35,2021-05-11,0
2021,36,2021-05-13,2
2021,37,2021-05-16,11
2022,1,2021-10-23,5
2022,2,2021-10-25,13
2022,3,2021-10-27,6
2022,4,2021-10-30,7
2022,5,2021-11-03,10
2022,6,2021-11-05,5
2022,7,2021-11-08,9
2022,8,2021-11-10,5
2022,9,2021-11-12,11
2022,10,2021-11-13,5
2022,11,2021-11-15,10
2022,12,2021-11-17,14
2022,13,2021-11-18,8
2022,14,2021-11-20,11
2022,15,2021-11-22,10
2022,16,2021-11-24,0
2022,17,2021-12-08,16
2022,18,2021-12-10,7
2022,19,2021-12-12,10
2022,20,2021-12-15,11
2022,21,2021-12-17,9
2022,22,2021-12-19,10
2022,23,2021-12-28,3
2022,24,2021-12-31,11
2022,25,2022-01-02,12
2022,26,2022-01-03,11
2022,27,2022-01-05,20
2022,28,2022-01-11,10
2022,29,2022-01-13,3
2022,30,2022-01-16,10
2022,31,2022-01-18,7
2022,32,2022-01-19,0
2022,33,2022-02-01,11
2022,34,2022-02-03,11
2022,35,2022-02-06,10
2022,36,2022-02-08,9
2022,37,2022-02-11,10
2022,38,2022-02-13,13
2022,39,2022-02-15,15
2022,40,2022-02-16,10
2022,41,2022-02-24,13
