year,game_number,date,points
2014,48,2014-02-01,26
2014,49,2014-02-03,31
2014,50,2014-02-05,26
2014,51,2014-02-07,29
2014,52,2014-02-09,41
2014,53,2014-02-11,36
2014,54,2014-02-13,43
2014,55,2014-02-20,28
2014,56,2014-02-23,42
2014,57,2014-02-26,28
2014,58,2014-02-28,37
2014,59,2014-03-02,28
2014,60,2014-03-04,42
2014,61,2014-03-06,34
2014,62,2014-03-09,27
2014,63,2014-03-11,42
2014,64,2014-03-13,29
2014,65,2014-03-16,30
2014,66,2014-03-17,35
2014,67,2014-03-20,35
2014,68,2014-03-21,51
2014,69,2014-03-24,27
2014,70,2014-03-25,43
2014,71,2014-03-28,29
2014,72,2014-03-30,31
2014,73,2014-04-03,28
2014,74,2014-04-04,28
2014,75,2014-04-06,38
2014,76,2014-04-08,23
2014,77,2014-04-09,27
2014,78,2014-04-11,27
2014,79,2014-04-13,38
2014,80,2014-04-14,25
2014,81,2014-04-16,42
2015,1,2014-12-02,27
2015,2,2014-12-05,10
2015,3,2014-12-07,28
2015,4,2014-12-09,23
2015,5,2014-12-11,19
2015,6,2014-12-12,16
2015,7,2014-12-14,23
2015,8,2014-12-16,26
2015,9,2014-12-18,30
2015,10,2014-12-31,44
2015,11,2015-01-02,34
2015,12,2015-01-05,14
2015,13,2015-01-07,24
2015,14,2015-01-09,32
2015,15,2015-01-15,24
2015,16,2015-01-16,36
2015,17,2015-01-18,21
2015,18,2015-01-20,19
2015,19,2015-01-21,34
2015,20,2015-01-23,21
2015,21,2015-01-25,32
2015,22,2015-01-31,15
2015,23,2015-02-06,27
2015,24,2015-02-08,29
2015,25,2015-02-09,40
2015,26,2015-02-11,26
2015,27,2015-02-19,12
2016,1,2015-10-28,22
2016,2,2015-10-30,43
2016,3,2015-11-01,25
2016,4,2015-11-02,29
2016,5,2015-11-04,27
2016,6,2015-11-05,33
2016,7,2015-11-08,32
2016,8,2015-11-10,14
2016,9,2015-11-23,27
2016,10,2015-11-25,30
2016,11,2015-11-27,34
2016,12,2015-11-30,25
2016,13,2015-12-03,25
2016,14,2015-12-06,20
2016,15,2015-12-08,32
2016,16,2015-12-10,25
2016,17,2015-12-11,21
2016,18,2015-12-13,31
2016,19,2015-12-16,24
2016,20,2015-12-17,25
2016,21,2015-12-19,22
2016,22,2015-12-21,24
2016,23,2015-12-23,21
2016,24,2015-12-25,29
2016,25,2015-12-27,26
2016,26,2015-12-29,26
2016,27,2015-12-31,23
2016,28,2016-01-02,29
2016,29,2016-01-06,26
2016,30,2016-01-08,24
2016,31,2016-01-10,28
2016,32,2016-01-12,30
2016,33,2016-01-13,29
2016,34,2016-01-15,21
2016,35,2016-01-17,24
2016,36,2016-01-19,30
2016,37,2016-01-20,26
2016,38,2016-01-22,24
2016,39,2016-01-24,32
2016,40,2016-01-26,44
2016,41,2016-01-27,27
2016,42,2016-01-29,33
2016,43,2016-02-01,28
2016,44,2016-02-03,37
2016,45,2016-02-06,40
2016,46,2016-02-08,32
2016,47,2016-02-11,23
2016,48,2016-02-19,31
2016,49,2016-02-21,26
2016,50,2016-02-24,24
2016,51,2016-02-25,32
2016,52,2016-02-27,37
2016,53,2016-02-29,27
2016,54,2016-03-02,30
2016,55,2016-03-03,32
2016,56,2016-03-06,32
2016,57,2016-03-09,30
2016,58,2016-03-11,28
2016,59,2016-03-12,28
2016,60,2016-03-14,20
2016,61,2016-03-16,28
2016,62,2016-03-18,26
2016,63,2016-03-19,33
2016,64,2016-03-22,23
2016,65,2016-03-24,20
2016,66,2016-03-26,31
2016,67,2016-03-28,34
2016,68,2016-03-31,31
2016,69,2016-04-03,33
2016,70,2016-04-05,26
2016,71,2016-04-09,31
2016,72,2016-04-11,34
2017,1,2016-10-25,27
2017,2,2016-10-28,30
2017,3,2016-10-30,37
2017,4,2016-11-01,20
2017,5,2016-11-03,39
2017,6,2016-11-04,27
2017,7,2016-11-07,22
2017,8,2016-11-09,28
2017,9,2016-11-10,18
2017,10,2016-11-13,29
2017,11,2016-11-16,30
2017,12,2016-11-18,23
2017,13,2016-11-19,33
2017,14,2016-11-21,14
2017,15,2016-11-23,28
2017,16,2016-11-25,29
2017,17,2016-11-26,28
2017,18,2016-11-28,25
2017,19,2016-12-01,39
2017,20,2016-12-03,20
2017,21,2016-12-05,20
2017,22,2016-12-07,16
2017,23,2016-12-08,21
2017,24,2016-12-10,21
2017,25,2016-12-11,22
2017,26,2016-12-13,27
2017,27,2016-12-15,15
2017,28,2016-12-17,34
2017,29,2016-12-20,22
2017,30,2016-12-22,26
2017,31,2016-12-23,32
2017,32,2016-12-25,36
2017,33,2016-12-28,22
2017,34,2016-12-30,19
2017,35,2017-01-02,21
2017,36,2017-01-04,30
2017,37,2017-01-06,27
2017,38,2017-01-08,28
2017,39,2017-01-10,28
2017,40,2017-01-12,25
2017,41,2017-01-16,21
2017,42,2017-01-18,40
2017,43,2017-01-20,32
2017,44,2017-01-22,15
2017,45,2017-01-23,27
2017,46,2017-01-25,33
2017,47,2017-01-28,23
2017,48,2017-01-29,33
2017,49,2017-02-01,18
2017,50,2017-02-02,26
2017,51,2017-02-04,10
2017,52,2017-02-08,22
2017,53,2017-02-10,24
2017,54,2017-02-11,34
2017,55,2017-02-13,25
2017,56,2017-02-15,21
2017,57,2017-02-23,25
2017,58,2017-02-27,27
2017,59,2017-02-28,0
2017,60,2017-04-08,16
2017,61,2017-04-10,16
2017,62,2017-04-12,29
2018,1,2017-10-17,20
2018,2,2017-10-20,22
2018,3,2017-10-21,29
2018,4,2017-10-23,25
2018,5,2017-10-25,29
2018,6,2017-10-27,31
2018,7,2017-10-29,28
2018,8,2017-10-30,19
2018,9,2017-11-02,24
2018,10,2017-11-04,25
2018,11,2017-11-06,21
2018,12,2017-11-11,29
2018,13,2017-11-13,21
2018,14,2017-11-16,24
2018,15,2017-11-18,27
2018,16,2017-11-22,21
2018,17,2017-11-29,29
2018,18,2017-12-01,25
2018,19,2017-12-03,24
2018,20,2017-12-04,19
2018,21,2017-12-06,35
2018,22,2017-12-08,36
2018,23,2017-12-11,28
2018,24,2017-12-14,36
2018,25,2017-12-18,36
2018,26,2017-12-20,22
2018,27,2017-12-22,33
2018,28,2017-12-23,18
2018,29,2017-12-25,25
2018,30,2017-12-27,21
2018,31,2017-12-29,27
2018,32,2017-12-30,20
2018,33,2018-01-03,25
2018,34,2018-01-10,40
2018,35,2018-01-12,26
2018,36,2018-01-13,25
2018,37,2018-01-15,32
2018,38,2018-01-17,19
2018,39,2018-01-20,26
2018,40,2018-01-23,14
2018,41,2018-01-25,28
2018,42,2018-01-27,20
2018,43,2018-01-30,17
2018,44,2018-02-02,33
2018,45,2018-02-03,31
2018,46,2018-02-06,33
